"osm_id","type","population"
672809976,"downtown",2
672809979,"downtown",4
672809981,"downtown",1
672809985,"downtown",4
672809988,"downtown",4
672809989,"downtown",7
672809990,"downtown",5
672809991,"downtown",4
672809992,"downtown",1
672809993,"downtown",6
672809995,"downtown",2
672809996,"downtown",4
672809997,"downtown",2
672809998,"downtown",5
672809999,"downtown",4
672810000,"downtown",5
672818685,"downtown",0
672818690,"downtown",2
672818691,"downtown",2
672818692,"downtown",2
672818693,"downtown",2
672818694,"downtown",6
672818695,"downtown",2
672818696,"downtown",2
672818697,"downtown",4
672818698,"downtown",4
672818699,"downtown",2
672818700,"downtown",1
672818701,"downtown",2
672818715,"downtown",4
672818719,"downtown",7
483520270,"residential",10
672818720,"downtown",1
672818722,"downtown",4
672818724,"downtown",1
672818725,"downtown",1
672818726,"downtown",0
672818729,"downtown",6
672818730,"downtown",1
672818731,"downtown",1
672818732,"downtown",1
672818733,"downtown",0
672818734,"downtown",0
672818735,"downtown",1
672818736,"downtown",1
672818737,"downtown",1
672818738,"downtown",6
672818740,"downtown",4
672818751,"downtown",0
672818752,"downtown",0
672818756,"downtown",2
672818757,"downtown",1
672818758,"downtown",2
672818759,"downtown",1
672818760,"downtown",1
672818761,"downtown",1
672818764,"downtown",1
672818772,"downtown",1
672818773,"downtown",1
672818774,"downtown",0
672818775,"downtown",0
672818776,"downtown",1
672818777,"downtown",0
672818778,"downtown",0
672818779,"downtown",1
177272178,"residential",0
672818780,"downtown",0
672818781,"downtown",0
672818782,"downtown",2
672818783,"downtown",1
672818784,"downtown",1
672818785,"downtown",1
672818786,"downtown",1
85131426,"downtown",15
85131431,"downtown",35
131710584,"downtown",0
131710585,"downtown",0
190902641,"downtown",0
1484125,"downtown",0
190905731,"downtown",0
552479340,"downtown",6
671776335,"downtown",2
671776336,"downtown",2
671776357,"downtown",2
671776358,"downtown",4
671776359,"downtown",6
671776364,"downtown",4
671776365,"downtown",4
85256469,"downtown",8
127728205,"downtown",25
672818769,"downtown",4
289876515,"downtown",7
339235074,"downtown",1
339235091,"downtown",5
348775112,"downtown",20
348775113,"downtown",5
354871379,"downtown",1
354871380,"downtown",0
529924894,"downtown",2
529924896,"downtown",4
529924898,"downtown",4
529924900,"downtown",2
529924903,"downtown",4
529930777,"downtown",1
529930778,"downtown",6
529930780,"downtown",4
531264649,"downtown",5
672808316,"downtown",4
672808317,"downtown",5
672808318,"downtown",5
672808319,"downtown",2
672808320,"downtown",2
672808321,"downtown",4
672808322,"downtown",2
672808323,"downtown",7
672808324,"downtown",4
672809977,"downtown",7
672809982,"downtown",2
672809983,"downtown",2
672809984,"downtown",1
672809986,"downtown",4
672809987,"downtown",2
672810001,"downtown",4
672818683,"downtown",1
672818684,"downtown",2
672818686,"downtown",0
672818687,"downtown",0
672818739,"downtown",1
672818741,"downtown",6
672818742,"downtown",7
672818743,"downtown",0
672818744,"downtown",0
672818745,"downtown",0
672818746,"downtown",0
672818747,"downtown",1
672818748,"downtown",2
672818749,"downtown",0
672818750,"downtown",0
672818755,"downtown",0
672818762,"downtown",10
672818763,"downtown",14
672818765,"downtown",2
672818766,"downtown",5
672818767,"downtown",2
672818768,"downtown",1
672818770,"downtown",4
65155475,"downtown",23
453801861,"downtown",0
354871381,"downtown",4
127727145,"downtown",0
529930776,"downtown",0
35155445,"downtown",2
65155468,"downtown",13
65155472,"downtown",1
65155473,"downtown",1
65155477,"downtown",2
65155479,"downtown",2
65155486,"downtown",6
65155490,"downtown",2
65155495,"downtown",2
65155498,"downtown",4
289877358,"downtown",6
339235075,"downtown",7
348765340,"downtown",5
348765342,"downtown",4
348765343,"downtown",4
348765344,"downtown",4
521639670,"downtown",2
521639672,"downtown",7
521639674,"downtown",4
488493209,"residential",0
521639676,"downtown",4
521639678,"downtown",2
521639679,"downtown",5
521639680,"downtown",6
521639682,"downtown",4
521639683,"downtown",4
521639684,"downtown",5
521639685,"downtown",4
521639686,"downtown",4
521639688,"downtown",2
521639689,"downtown",2
521639690,"downtown",4
521639717,"downtown",1
521639718,"downtown",5
521639719,"downtown",5
521639720,"downtown",2
521639721,"downtown",2
521639740,"downtown",4
521639741,"downtown",5
521639743,"downtown",4
551462201,"downtown",4
551462202,"downtown",4
551462204,"downtown",6
551462205,"downtown",4
551462206,"downtown",1
551462208,"downtown",4
551462211,"downtown",6
551462213,"downtown",4
551462227,"downtown",4
551462229,"downtown",4
551462231,"downtown",2
551462232,"downtown",1
551462239,"downtown",6
551462241,"downtown",1
551462242,"downtown",4
551462243,"downtown",0
551462244,"downtown",1
551462246,"downtown",2
551462247,"downtown",2
551462248,"downtown",4
551462253,"downtown",2
551462254,"downtown",10
552237920,"downtown",1
551462255,"downtown",6
551462256,"downtown",1
551462257,"downtown",2
551462258,"downtown",1
551462260,"downtown",2
551462263,"downtown",1
551462264,"downtown",2
551462265,"downtown",7
551462266,"downtown",5
551462267,"downtown",2
551462271,"downtown",5
177268497,"residential",1
551462273,"downtown",5
551462275,"downtown",2
551462278,"downtown",2
551462281,"downtown",2
551462285,"downtown",5
551462288,"downtown",1
551462289,"downtown",2
551462290,"downtown",1
551462291,"downtown",1
552455079,"downtown",4
552455080,"downtown",4
551462292,"downtown",4
551462293,"downtown",1
551462296,"downtown",4
551462298,"downtown",2
551492789,"downtown",0
551492790,"downtown",7
551492791,"downtown",1
552237865,"downtown",2
552237866,"downtown",4
552237867,"downtown",7
178468743,"residential",1
552237868,"downtown",6
552237869,"downtown",9
552237870,"downtown",4
552237871,"downtown",1
552237872,"downtown",14
552237873,"downtown",2
552237874,"downtown",2
552237875,"downtown",1
552237876,"downtown",4
552237877,"downtown",4
552237907,"downtown",6
552237908,"downtown",5
552237909,"downtown",11
552237910,"downtown",1
552237911,"downtown",2
552237912,"downtown",2
552237913,"downtown",4
552237914,"downtown",2
552237915,"downtown",4
552237916,"downtown",1
552237918,"downtown",6
552237922,"downtown",2
552237923,"downtown",9
552237925,"downtown",8
552237926,"downtown",8
552237927,"downtown",7
552237928,"downtown",6
552237929,"downtown",8
552237930,"downtown",11
552237931,"downtown",2
552237933,"downtown",2
552237934,"downtown",4
552237935,"downtown",0
552237936,"downtown",2
552237937,"downtown",4
552237938,"downtown",2
552455067,"downtown",1
552455068,"downtown",2
552455069,"downtown",4
552455070,"downtown",4
552455071,"downtown",2
552455072,"downtown",5
552455073,"downtown",2
552455074,"downtown",4
552455075,"downtown",6
552455076,"downtown",2
552455077,"downtown",4
552455078,"downtown",10
552455081,"downtown",2
552455083,"downtown",4
552455085,"downtown",8
552455086,"downtown",2
552455089,"downtown",2
552455091,"downtown",2
552455093,"downtown",1
552455095,"downtown",2
552455096,"downtown",0
552455099,"downtown",0
552455101,"downtown",0
552455102,"downtown",1
552455104,"downtown",1
552455105,"downtown",2
552455107,"downtown",1
552455109,"downtown",2
552455111,"downtown",1
552455113,"downtown",0
552455114,"downtown",0
552455116,"downtown",1
552455118,"downtown",0
552455119,"downtown",2
552455121,"downtown",1
552455129,"downtown",4
552455131,"downtown",2
552455133,"downtown",6
552455134,"downtown",5
552455136,"downtown",1
552455137,"downtown",1
552455139,"downtown",0
376286623,"residential",1
376286625,"residential",1
376286641,"residential",6
552455140,"downtown",0
552455142,"downtown",1
552455144,"downtown",1
552455146,"downtown",1
552455148,"downtown",1
552455150,"downtown",2
552455151,"downtown",1
552455153,"downtown",2
552455154,"downtown",19
552455156,"downtown",2
552459103,"downtown",4
552459106,"downtown",2
552459107,"downtown",2
552459108,"downtown",1
552459111,"downtown",7
552459112,"downtown",5
552459113,"downtown",5
552459114,"downtown",4
552459115,"downtown",2
552459116,"downtown",5
552459117,"downtown",5
552459118,"downtown",4
552459119,"downtown",4
177272172,"residential",1
552459120,"downtown",10
552459121,"downtown",8
552479314,"downtown",1
552479315,"downtown",1
552479323,"downtown",9
552479324,"downtown",2
552479325,"downtown",5
552479326,"downtown",6
552479327,"downtown",5
552479328,"downtown",7
552479329,"downtown",1
552479330,"downtown",4
552479331,"downtown",4
552479332,"downtown",4
552479333,"downtown",5
552479334,"downtown",5
552479335,"downtown",5
552479336,"downtown",6
552479337,"downtown",7
552479338,"downtown",12
671776299,"downtown",0
671776300,"downtown",0
671776308,"downtown",0
671776309,"downtown",0
671776310,"downtown",1
671776311,"downtown",1
671776312,"downtown",4
671776313,"downtown",4
671776314,"downtown",4
671776316,"downtown",4
671776318,"downtown",4
671776320,"downtown",1
671776321,"downtown",1
671776322,"downtown",4
671776324,"downtown",4
671776326,"downtown",5
671776332,"downtown",2
671776337,"downtown",2
671776338,"downtown",2
671776339,"downtown",2
671776340,"downtown",5
671776342,"downtown",5
671776343,"downtown",2
671776344,"downtown",4
671776346,"downtown",5
671776348,"downtown",5
671776349,"downtown",7
671776355,"downtown",22
671776360,"downtown",11
671776361,"downtown",8
671776362,"downtown",1
671776363,"downtown",5
671776366,"downtown",4
671776367,"downtown",4
671776368,"downtown",5
120116161,"downtown",23
403451120,"downtown",8
65155478,"downtown",0
104709798,"downtown",9
104709804,"downtown",30
104709808,"downtown",17
552237880,"downtown",1
552237878,"downtown",1
552237879,"downtown",1
101569264,"main-hospital",13
671765069,"main-hospital",0
671765070,"main-hospital",0
671765071,"main-hospital",0
671765072,"main-hospital",0
671765073,"main-hospital",0
902659464,"main-hospital",0
902659461,"main-hospital",0
376291264,"residential",0
376286646,"residential",0
100655987,"residential",2
376286608,"residential",2
177312213,"residential",1
178307022,"residential",1
178471635,"residential",0
178494944,"residential",1
179451995,"residential",0
